pressure0,interval,v0_x,v0_y,v0,aX,aY,a,pos_x,pos_y,msec,Mode
0.251953125,137.1,0,0,0,0,0,0,243.318512,469.1061707,10.9000001,pen
0.194335938,84.5,0,0,0,0,0,0,243.9880676,470.1105957,11.19999993,pen
0.48828125,95.20000005,0,0,0,0,0,0,244.9925232,475.4674988,11.19999993,pen
0.439453125,384.9,-0.334777832,0,0.334777832,-0.334777832,0,0.334777832,247.3361511,477.8111267,13.89999998,pen
0.305664063,39.20000005,0,0,0,0,0,0,250.3493958,476.8066406,12.10000002,pen
0.477539063,11083.5,-0.334838867,0.33480835,0.473512088,-0.334838867,0.33480835,0.473512088,295.8827209,395.4493103,11.89999998,pen
0.262695313,141.9,-0.334777832,0,0.334777832,-0.334777832,0,0.334777832,293.539093,410.8503113,12.89999998,pen
0.28515625,1718.8,0,-0.334838867,0.334838867,0,-0.334838867,0.334838867,344.7641296,374.0218201,11.5,pen
0.196289063,233.9000001,0,0,0,0,0,0,340.0769348,381.3875427,11.10000002,pen
0.307617188,200.5999999,-0.334777832,1.004425049,1.058747314,-0.334777832,1.004425049,1.058747314,367.5307922,377.0350952,12.5,pen
0.336914063,134.7,0,0.334777832,0.334777832,0,0.334777832,0.334777832,377.5749207,378.3742981,11.9000001,pen
0.423828125,93,0,0.334838867,0.334838867,0,0.334838867,0.334838867,383.266571,378.0395203,16.29999995,pen
0.658203125,180.7,0,0.33480835,0.33480835,0,0.33480835,0.33480835,392.9758606,376.3654785,12.60000002,pen
0.533203125,124.8000001,0,0,0,0,0,0,387.6190491,383.7311707,11.29999995,pen
0.095703125,7294.6,0,-0.376159668,0.376159668,0,-0.376159668,0.376159668,339.1921692,407.9602661,11.39999998,pen
0.5078125,217.4,0,0.376159668,0.376159668,0,0.376159668,0.376159668,349.3484192,406.0794983,11.5,pen
0.127929688,42.79999995,0,0,0,0,0,0,357.2478333,407.584137,11.39999998,pen
0.434570313,123.6999999,0,0,0,0,0,0,342.2014465,416.611908,12.29999995,pen
0.370117188,149.1,0,0,0,0,0,0,344.4584045,419.6211853,13.29999995,pen
0.470703125,119.3,0,0,0,0,0,0,346.3391418,421.8781433,12.29999995,pen
0.33203125,132.5,0,0,0,0,0,0,347.4676208,427.896698,11.79999995,pen
0.434570313,95.20000005,0,0,0,0,0,0,345.2107239,433.1629028,11.89999998,pen
0.430664063,129.3000001,0,0,0,0,0,0,359.5047302,420.7497253,10.80000007,pen
0.526367188,118.5,0,0,0,0,0,0,365.1471252,418.8688965,11.39999998,pen
0.327148438,368.6999999,0,0,0,0,0,0,369.2848816,418.4927368,11.29999995,pen
0.372070313,94.80000007,0,0,0,0,0,0,370.4133606,419.6211853,10.70000005,pen
0.21875,128.5,-0.376098633,0,0.376098633,-0.376098633,0,0.376098633,377.1842346,424.5112915,12.29999995,pen
0.21875,171.4,-0.376098633,0,0.376098633,-0.376098633,0,0.376098633,375.3034973,436.92453,13.60000002,pen
0.545898438,465.9,-0.376159668,0,0.376159668,-0.376159668,0,0.376159668,404.2676697,413.226532,11,pen
0.575195313,120.5,0,0.376159668,0.376159668,0,0.376159668,0.376159668,393.3590393,420.3735352,11.20000005,pen
0.56640625,92,0.376159668,0,0.376159668,0.376159668,0,0.376159668,392.9828796,426.0159302,11.4000001,pen
0.420898438,148.6,0,0.376190186,0.376190186,0,0.376190186,0.376190186,421.1948547,410.9695435,11.39999998,pen
0.416992188,9793.6,-56.59393311,23.91290283,61.43858874,-56.59393311,23.91290283,61.43858874,438.2574768,413.271637,11.5,page
0.5859375,4418.9,0,0,0,0,0,0,73.98410034,21.8969574,10.5999999,pen
0.193359375,114.8,0,0,0,0,0,0,66.01312256,45.80987549,10.89999998,pen
0.5390625,154.9,0,0.797100067,0.797100067,0,0.797100067,0.797100067,84.34637451,35.4475975,11.79999995,pen
0.193359375,73.20000005,-0.797119141,0,0.797119141,-0.797119141,0,0.797119141,88.33184814,51.38953781,12.4000001,pen
0.392578125,129.2,0.797088623,0,0.797088623,0.797088623,0,0.797088623,89.92605591,32.25921249,11.5,pen
0.321289063,161,0.797088623,0,0.797088623,0.797088623,0,0.797088623,114.6360474,21.09985733,12.20000005,pen
0.580078125,93,0,0.797096252,0.797096252,0,0.797096252,0.797096252,124.2012329,23.49114037,13.10000002,pen
0.345703125,118.1,0.797119141,0,0.797119141,0.797119141,0,0.797119141,142.5344849,29.07082748,11.69999993,pen
0.349609375,89.19999993,0,0,0,0,0,0,159.2734985,33.05631638,11.29999995,pen
0.352539063,123,0.797119141,-0.797084808,1.127272423,0.797119141,-0.797084808,1.127272423,179.2009277,33.85341263,11.5,pen
0.3359375,60.29999995,0,0,0,0,0,0,193.5486755,54.57793045,11.79999995,pen
0.450195313,171.3000001,0,0.79709816,0.79709816,0,0.79709816,0.79709816,238.1860657,19.50565529,11.39999998,pen
0.153320313,39.79999995,0,0,0,0,0,0,237.3890076,31.46211243,12.0999999,pen
0.45703125,189.0999999,0,0,0,0,0,0,248.5483704,37.04180145,12,pen
0.465820313,116.9,0,-0.797084808,0.797084808,0,-0.797084808,0.797084808,246.9541931,49.79536057,11.60000002,pen
0.427734375,67.5,0,0,0,0,0,0,242.1716003,67.33148193,11.80000007,pen
0.396484375,99,0,0.797103882,0.797103882,0,0.797103882,0.797103882,265.287384,56.96923065,12.39999998,pen
0.255859375,139.8000001,0,0,0,0,0,0,236.5918884,76.09954834,11.29999995,pen
0.606445313,178,0,0,0,0,0,0,292.3887024,33.85341263,11.39999998,pen
0.149414063,33.10000002,-0.797058105,0,0.797058105,-0.797058105,0,0.797058105,313.9103699,37.83889771,12,pen
0.5390625,134.8,0.797058105,0.797100067,1.127240055,0.797058105,0.797100067,1.127240055,294.7799988,53.78084183,12.10000002,pen
0.736328125,88.89999998,0.797058105,0,0.797058105,0.797058105,0,0.797058105,294.7799988,71.31697083,11.39999998,pen
0.311523438,5537.9,1.796600342,-0.598831177,1.893771783,1.796600342,-0.598831177,1.893771783,82.69354248,151.8698578,12.4000001,pen
0.484375,69.5,-0.598846436,0,0.598846436,-0.598846436,0,0.598846436,72.51293945,159.0561371,11.5,pen
0.501953125,582.3,0,0,0,0,0,0,54.54721069,160.2538452,11.89999998,pen
0.325195313,386.9,0,0.598861694,0.598861694,0,0.598861694,0.598861694,53.34951782,187.2024384,11,pen
0.430664063,331.5,0,0.598876953,0.598876953,0,0.598876953,0.598876953,107.2466736,145.8812714,10.5999999,pen
0.375,96.39999998,0,0,0,0,0,0,125.2124329,143.4858246,11.29999995,pen
0.595703125,115.9,0.598876953,0,0.598876953,0.598876953,0,0.598876953,139.585022,157.2595673,11.89999998,pen
0.421875,106.3,0,0,0,0,0,0,143.1781311,146.4801178,11,pen
0.434570313,89.39999998,0,0,0,0,0,0,158.1495972,142.2881165,10.69999993,pen
0.526367188,106.2,0,0.598846436,0.598846436,0,0.598846436,0.598846436,165.9347534,143.4858246,11.30000007,pen
0.4921875,76.89999998,-0.598876953,0,0.598876953,-0.598876953,0,0.598876953,172.5221558,144.0847015,11.80000007,pen
0.497070313,150.8000001,-0.598876953,0,0.598876953,-0.598876953,0,0.598876953,177.3130493,178.2195892,11.79999995,pen
0.658203125,112.8000001,0,0,0,0,0,0,201.267334,154.2652588,11.5,pen
